Sex,Year,Estimated incidence rate of new HIV infection per 1 000 uninfected population,Estimated number of annual new HIV infections,Estimated number of people living with HIV
Female,1990,0.64,500,860
Male,1990,0.15,100,200
Female,1991,0.75,500,1100
Male,1991,0.17,200,500
Female,1992,0.88,590,1300
Male,1992,0.19,200,500
Female,1993,1.04,720,1600
Male,1993,0.23,200,500
Female,1994,1.19,850,2000
Male,1994,0.26,200,500
Female,1995,1.33,990,2300
Male,1995,0.29,500,500
Female,1996,1.51,1200,2800
Male,1996,0.32,500,590
Female,1997,1.67,1300,3200
Male,1997,0.36,500,700
Female,1998,1.84,1500,3700
Male,1998,0.39,500,820
Female,1999,2.02,1700,4300
Male,1999,0.43,500,970
Female,2000,2.16,1900,4900
Male,2000,0.46,500,1100
Female,2001,2.34,2200,5600
Male,2001,0.5,500,1300
Female,2002,2.47,2400,6200
Male,2002,0.53,500,1500
Female,2003,2.58,2600,6900
Male,2003,0.55,550,1700
Female,2004,2.65,2700,7600
Male,2004,0.57,580,1900
Female,2005,2.65,2800,8200
Male,2005,0.57,600,2200
Female,2006,2.7,3000,8700
Male,2006,0.58,640,2400
Female,2007,2.72,3100,9300
Male,2007,0.58,660,2700
Female,2008,2.65,3100,9800
Male,2008,0.57,660,3000
Female,2009,2.63,3200,10000
Male,2009,0.56,680,3300
Female,2010,2.58,3200,11000
Male,2010,0.55,680,3600
Female,2011,2.52,3300,11000
Male,2011,0.53,680,3900
Female,2012,2.46,3300,12000
Male,2012,0.52,690,4300
Female,2013,2.4,3300,12000
Male,2013,0.51,690,4700
Female,2014,2.27,3200,12000
Male,2014,0.48,670,5100
Female,2015,2.17,3200,13000
Male,2015,0.46,660,5600
Female,2016,2.12,3200,13000
Male,2016,0.45,670,6000
Female,2017,2.1,3300,14000
Male,2017,0.44,690,6500
Female,2018,2.05,3400,14000
Male,2018,0.43,700,7000
Female,2019,1.99,3400,15000
Male,2019,0.42,700,7500
Female,1990,7.9,2000,5000
Male,1990,1.79,500,820
Female,1991,7.19,1800,5100
Male,1991,1.53,500,770
Female,1992,6.13,1600,4900
Male,1992,1.23,500,710
Female,1993,5.24,1500,4500
Male,1993,1.01,500,690
Female,1994,4.33,1300,4200
Male,1994,0.79,500,740
Female,1995,3.62,1100,4000
Male,1995,0.65,500,870
Female,1996,3.06,1000,3900
Male,1996,0.54,200,1100
Female,1997,2.54,870,3900
Male,1997,0.45,200,1500
Female,1998,2.25,800,4200
Male,1998,0.4,200,2000
Female,1999,1.92,710,4500
Male,1999,0.34,200,2500
Female,2000,1.63,620,4900
Male,2000,0.29,200,3100
Female,2001,1.37,540,5300
Male,2001,0.24,100,3700
Female,2002,1.27,520,5800
Male,2002,0.22,100,4300
